pitch_type,video_link,category
SL,https://baseballsavant.mlb.com/sporty-videos?playId=5d421b5b-2624-34ba-9b72-b630330b21c3,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=7a36ba1e-495e-305c-8fff-134ba7c034ba,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=e720b846-52ce-31d7-986b-0c133a16b0ce,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=6fb3db7b-9c18-3d09-b9ae-970b3e4ed7c6,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=a28ff9f9-9153-30d8-8f20-eeacd209bcc8,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=43acebf5-c240-346c-bdfa-eadbc8823e4f,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=3e6aca14-e307-3936-8e6b-1ba2d6530535,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=6b6aa128-b1e5-3c4c-b15e-82ae34cd13c7,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=1886a9ca-0c2a-3a30-99d3-756dbdd7e2f8,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=3f38eef2-d068-35b9-97dc-e8fc63f4046d,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=09b8d87d-3202-3f63-9903-62c09f5e559b,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=70a642cf-e295-3c78-ad18-bc0a7d8409a9,Fastball
CU,https://baseballsavant.mlb.com/sporty-videos?playId=ab398a14-e391-330b-9292-52e2fb3d7abe,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=84a81275-df43-3d65-aa6e-12c8650c6e57,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=459de9ae-859f-39e2-831e-59fc642d8aeb,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=084a78a3-6e9f-3851-ae35-4ddaec378ccb,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=7a06978b-f867-3f4a-a51b-d786eca55646,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=d4cacf1a-cb40-3d26-9531-a5caad042a19,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=86db0d5e-293b-3a09-94f5-6826c1a1d7af,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=d814f0ed-994c-3aba-9f9e-3505a916ebca,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=2022087c-b911-3358-9f8a-6eb6308e4a9f,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=fd2c0511-b39c-3432-b439-34cea9af7bf2,Offspeed
CH,https://baseballsavant.mlb.com/sporty-videos?playId=9edf1094-2d9b-365e-a038-55d04e7633e4,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=e27e9529-15c3-3e4c-ba78-b070ca4291c2,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=975064d9-4005-32ab-8580-83d042f2e7b1,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=2082a692-44e3-3aff-9ccb-6f7b9c3671e7,Fastball
CU,https://baseballsavant.mlb.com/sporty-videos?playId=724776d4-edbf-3466-b5c1-4cd56bc1089c,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=ea794fe9-ba1b-302c-9b2c-bad335236e72,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=b32641e9-cf12-32d6-8f61-038ef2fe636f,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=f6d23974-b767-37f7-a8d1-bb00ccac2090,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=abc5260a-ebfa-3289-89cd-3b35ebd2181e,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=594b9782-1304-3329-88a9-3a94d01c6506,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=d5c0d7cd-dcf6-33b1-b403-52a5794fe9ad,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=490a1bf8-c2f9-330b-b7f1-93719278e808,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=3207378c-adff-3e98-bc01-2ec196b15f0a,Offspeed
SL,https://baseballsavant.mlb.com/sporty-videos?playId=33922ef6-bd61-313a-b11d-480118f38437,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=9f364e24-13a2-35b5-94db-50a86aeee136,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=18c5e2cd-d9f0-34c8-8244-01fad59df548,Offspeed
CH,https://baseballsavant.mlb.com/sporty-videos?playId=9a9b45b7-8c7f-3f72-9638-5604df34c0f7,Offspeed
SL,https://baseballsavant.mlb.com/sporty-videos?playId=d7e351f8-2c93-365d-86b0-12360a483e70,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=acf172e2-acea-3abc-8352-af2cb15c5b24,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=6a387d73-edfc-3736-8be1-a4c4b9a0a72e,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=db2b0ef8-03ee-38e4-ac9d-4ff895d55eb8,Offspeed
CH,https://baseballsavant.mlb.com/sporty-videos?playId=ba58fcfc-884f-380d-a8a6-d14330d881e6,Offspeed
CH,https://baseballsavant.mlb.com/sporty-videos?playId=b598cb5e-141b-3649-9439-561162b3bafc,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=be924b94-8a59-3c05-b5d7-cc50b610d49e,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=d95f8c42-63b6-3b01-9f79-e21357b382ab,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=024bf844-7b1d-30f2-a072-d319239ddc0e,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=37ecbefe-bc18-3255-a7dc-2bd47bdb8cfc,Offspeed
CU,https://baseballsavant.mlb.com/sporty-videos?playId=9fe2d57d-b00c-3992-addb-79bfb0bf177e,Breaking
